label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
phistar_50_76,2,2,0,+-+-,0.9166666666666666,0.5337396756817389,1
phistar_50_76,2,2,0,++--,0.9166666666666666,0.6527437980823497,1
phistar_50_76,4,0,0,++++,0.16666666666666666,22.899425142180544,1
phistar_50_76,0,4,0,----,0.8333333333333334,20.382232157160526,9
phistar_50_76,3,0,1,0+++,0.0,22.977558920542318,1
phistar_50_76,3,0,1,+0++,0.16666666666666666,22.921866221637256,1
phistar_50_76,3,0,1,++0+,0.16666666666666666,22.899425142180544,1
phistar_50_76,3,0,1,+++0,0.6666666666666666,1.6440149211628299,1
phistar_50_76,0,3,1,---0,0.3333333333333333,39.38223215716052,5
phistar_50_76,0,3,1,--0-,0.8333333333333334,20.382232157160526,9
phistar_50_76,0,3,1,-0--,0.8333333333333334,20.239263450872198,9
phistar_50_76,0,3,1,0---,1.0,-1.0507731842817931,-1
phistar_50_76,2,1,1,-0++,0.08333333333333333,58.239263450872194,2
phistar_50_76,2,1,1,-+0+,0.08333333333333333,58.096294744583865,2
phistar_50_76,2,1,1,-++0,0.3333333333333333,39.096294744583865,5
phistar_50_76,2,1,1,0-++,0.0,23.022441079455685,1
phistar_50_76,2,1,1,0+-+,0.0,22.977558920542318,1
phistar_50_76,2,1,1,0++-,1.0,-0.949226815720207,-1
phistar_50_76,2,1,1,+-0+,0.16666666666666666,22.94430730109394,1
phistar_50_76,2,1,1,+-+0,0.6666666666666666,1.5337396756817387,1
phistar_50_76,2,1,1,+0-+,0.16666666666666666,22.921866221637256,1
phistar_50_76,2,1,1,+0+-,0.9166666666666666,0.5888772984222844,1
phistar_50_76,2,1,1,++-0,0.6666666666666666,1.6527437980823496,1
phistar_50_76,2,1,1,++0-,0.9166666666666666,0.6483793596225899,1
phistar_50_76,1,2,1,--0+,0.08333333333333333,58.38223215716052,2
phistar_50_76,1,2,1,--+0,0.3333333333333333,39.38223215716052,5
phistar_50_76,1,2,1,-0-+,0.08333333333333333,58.239263450872194,2
phistar_50_76,1,2,1,-0+-,0.8333333333333334,20.239263450872198,9
phistar_50_76,1,2,1,-+-0,0.3333333333333333,39.096294744583865,5
phistar_50_76,1,2,1,-+0-,0.8333333333333334,20.09629474458387,9
phistar_50_76,1,2,1,0--+,0.0,23.022441079455685,1
phistar_50_76,1,2,1,0-+-,1.0,-1.0595020612013044,-1
phistar_50_76,1,2,1,0+--,1.0,-0.9404979388006957,-1
phistar_50_76,1,2,1,+--0,0.6666666666666666,1.5424685526012585,1
phistar_50_76,1,2,1,+-0-,0.9166666666666666,0.5381041141414987,1
phistar_50_76,1,2,1,+0--,0.9166666666666666,0.5976061753418042,1
phistar_50_76,2,0,2,00++,0.0,22.999999999999,1
phistar_50_76,2,0,2,0+0+,0.0,22.977558920542318,1
